epoch,best_fitness,time
1,-5468.645,0.016
2,-6631.472,0.012
3,-6970.423,0.016
4,-6970.423,0.0
5,-7365.983,0.016
6,-7365.983,0.016
7,-8532.599,0.0
8,-10806.312,0.016
9,-10806.312,0.016
10,-12148.892,0.016
11,-12148.892,0.016
12,-12421.032,0.016
13,-12421.032,0.016
14,-13371.781,0.0
15,-14084.032,0.031
16,-15757.523,0.031
17,-15299.279,0.047
18,-16469.699,0.016
19,-17405.274,0.016
20,-16881.855,0.016
21,-17484.846,0.016
22,-17881.43,0.016
23,-18198.407,0.0
24,-18997.276,0.016
25,-18997.276,0.016
26,-18997.276,0.012
27,-19399.789,0.016
28,-19741.962,0.016
29,-20421.802,0.016
30,-20576.392,0.016
31,-21012.758,0.016
32,-21003.061,0.0
33,-21003.061,0.016
34,-21292.138,0.0
35,-21709.08,0.016
36,-21775.409,0.024
37,-21869.18,0.016
38,-22301.756,0.008
39,-22408.251,0.0
40,-22250.81,0.016
41,-22483.638,0.0
42,-22533.337,0.016
43,-22667.715,0.0
44,-22581.102,0.016
45,-22808.987,0.016
46,-22755.78,0.016
47,-22846.175,0.016
48,-23056.088,0.0
49,-23106.099,0.016
50,-23321.024,0.016
51,-23321.024,0.016
52,-23334.477,0.016
53,-23553.041,0.016
54,-23472.708,0.016
55,-23536.01,0.016
56,-23548.974,0.0
57,-23690.764,0.056
58,-23687.894,0.072
59,-23771.95,0.048
60,-23754.714,0.036
61,-23841.076,0.028
62,-23885.154,0.024
63,-24007.822,0.02
64,-24057.598,0.02
65,-24025.279,0.02
66,-24088.547,0.016
67,-24088.547,0.028
68,-24113.891,0.028
69,-24175.32,0.02
70,-24201.394,0.016
71,-24206.554,0.012
72,-24323.988,0.012
73,-24312.795,0.016
74,-24368.314,0.012
75,-24368.314,0.016
76,-24368.314,0.012
77,-24395.401,0.016
78,-24453.526,0.047
79,-24453.526,0.02
80,-24446.331,0.02
81,-24446.874,0.016
82,-24473.687,0.012
83,-24488.573,0.016
84,-24488.558,0.044
85,-24506.263,0.044
86,-24511.465,0.032
87,-24515.772,0.036
88,-24539.668,0.032
89,-24539.668,0.02
90,-24539.668,0.024
91,-24542.357,0.028
92,-24556.869,0.02
93,-24555.725,0.02
94,-24575.855,0.02
95,-24575.855,0.024
96,-24575.855,0.024
97,-24575.673,0.02
98,-24589.98,0.024
99,-24589.98,0.024
100,-24596.074,0.02
101,-24599.674,0.02
102,-24608.995,0.016
103,-24602.985,0.016
104,-24610.965,0.0
105,-24620.015,0.016
106,-24622.528,0.016
107,-24628.227,0.016
108,-24623.973,0.016
109,-24625.612,0.016
110,-24636.518,0.016
111,-24636.518,0.0
112,-24642.325,0.016
113,-24643.229,0.016
114,-24642.473,0.016
115,-24647.722,0.012
116,-24651.988,0.0
117,-24657.508,0.016
118,-24656.475,0.016
119,-24659.075,0.016
120,-24664.281,0.016
121,-24664.518,0.0
122,-24664.741,0.016
123,-24669.76,0.016
124,-24669.367,0.016
125,-24672.487,0.016
126,-24673.195,0.0
127,-24680.313,0.016
128,-24681.389,0.016
129,-24681.389,0.0
130,-24681.906,0.016
131,-24681.963,0.016
132,-24683.432,0.016
133,-24683.452,0.016
134,-24683.515,0.0
135,-24683.659,0.016
136,-24683.711,0.0
137,-24683.711,0.016
138,-24684.039,0.0
139,-24684.339,0.016
140,-24684.319,0.016
141,-24684.319,0.016
142,-24684.278,0.016
143,-24684.322,0.031
144,-24684.478,0.0
145,-24684.617,0.016
146,-24684.582,0.016
147,-24684.61,0.016
148,-24684.628,0.016
149,-24684.645,0.0
150,-24684.645,0.016
151,-24684.653,0.047
152,-24684.653,0.028
153,-24684.673,0.028
154,-24684.656,0.031
155,-24684.67,0.0
156,-24684.67,0.016
157,-24684.673,0.016
158,-24684.679,0.016
159,-24684.679,0.016
160,-24684.679,0.0
161,-24684.679,0.016
162,-24684.679,0.016
163,-24684.679,0.016
164,-24684.679,0.016
165,-24684.679,0.016
166,-24684.679,0.0
167,-24684.693,0.016
168,-24684.693,0.016
169,-24684.708,0.029
170,-24684.708,0.016
171,-24684.711,0.02
172,-24684.711,0.008
173,-24684.711,0.012
174,-24684.711,0.02
175,-24684.711,0.02
176,-24684.711,0.012
177,-24684.711,0.016
178,-24684.722,0.013
179,-24684.722,0.008
180,-24684.722,0.016
181,-24684.725,0.012
182,-24684.725,0.015
183,-24684.725,0.012
184,-24684.725,0.016
185,-24684.736,0.016
186,-24684.744,0.016
187,-24684.747,0.031
188,-24684.747,0.012
189,-24684.747,0.012
190,-24684.747,0.031
191,-24684.761,0.016
192,-24684.761,0.0
193,-24684.769,0.012
194,-24684.769,0.012
195,-24684.761,0.016
196,-24684.761,0.016
197,-24684.761,0.0
198,-24684.772,0.016
